2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,
2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,2048,1972,
1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,1829,1719,
1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,1630,1557,
1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,1494,1439,
1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,1390,1346,
1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,1307,1271,
1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,1238,1207,
1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,1179,1153,
1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,1128,1105,
1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,1083,1063,
1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,1043,1025,
1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,1007, 990,
 974, 959, 974, 959, 974, 959, 974, 959, 974, 959, 974, 959, 974, 959, 974, 959, 974, 959, 974, 959, 974, 959, 974, 959, 974, 959, 974, 959, 974, 959, 974, 959,
